CODE_SEQ,CODE,CODE_CATEGORY,CODE_NM,PARENT_AREA
1,1,AREA,서울,
2,2,AREA,인천,
3,3,AREA,대전,
4,4,AREA,대구,
5,5,AREA,광주,
6,6,AREA,부산,
7,7,AREA,울산,
8,8,AREA,세종,
9,31,AREA,경기,
10,32,AREA,강원,
11,33,AREA,충북,
12,34,AREA,충남,
13,35,AREA,경북,
14,36,AREA,경남,
15,37,AREA,전북,
16,38,AREA,전남,
17,39,AREA,제주,
18,12,FACILITY,관광지,
19,14,FACILITY,문화시설,
20,25,FACILITY,여행코스,
21,28,FACILITY,레포츠,
22,32,FACILITY,숙박,
23,38,FACILITY,쇼핑,
24,39,FACILITY,음식점,
25,1,DAY,월,
26,2,DAY,화,
27,3,DAY,수,
28,4,DAY,목,
29,5,DAY,금,
30,6,DAY,토,
31,7,DAY,일,
32,1,TOURIST,현지인,
33,2,TOURIST,외지인,
34,3,TOURIST,외국인,
35,1,CITY,강남구,서울
36,2,CITY,강동구,서울
37,3,CITY,강북구,서울
38,4,CITY,강서구,서울
39,5,CITY,관악구,서울
40,6,CITY,광진구,서울
41,7,CITY,구로구,서울
42,8,CITY,금천구,서울
43,9,CITY,노원구,서울
44,10,CITY,도봉구,서울
45,11,CITY,동대문구,서울
46,12,CITY,동작구,서울
47,13,CITY,마포구,서울
48,14,CITY,서대문구,서울
49,15,CITY,서초구,서울
50,16,CITY,성동구,서울
51,17,CITY,성북구,서울
52,18,CITY,송파구,서울
53,19,CITY,양천구,서울
54,20,CITY,영등포구,서울
55,21,CITY,용산구,서울
56,22,CITY,은평구,서울
57,23,CITY,종로구,서울
58,24,CITY,중구,서울
59,25,CITY,중랑구,서울
60,1,CITY,강화군,인천
61,2,CITY,계양구,인천
62,3,CITY,미추홀구,인천
63,4,CITY,남동구,인천
64,5,CITY,동구,인천
65,6,CITY,부평구,인천
66,7,CITY,서구,인천
67,8,CITY,연수구,인천
68,9,CITY,옹진군,인천
69,10,CITY,중구,인천
70,1,CITY,대덕구,대전
71,2,CITY,동구,대전
72,3,CITY,서구,대전
73,4,CITY,유성구,대전
74,5,CITY,중구,대전
75,1,CITY,남구,대구
76,2,CITY,달서구,대구
77,3,CITY,달성군,대구
78,4,CITY,동구,대구
79,5,CITY,북구,대구
80,6,CITY,서구,대구
81,7,CITY,수성구,대구
82,8,CITY,중구,대구
83,1,CITY,광산구,광주
84,2,CITY,남구,광주
85,3,CITY,동구,광주
86,4,CITY,북구,광주
87,5,CITY,서구,광주
88,1,CITY,강서구,부산
89,2,CITY,금정구,부산
90,3,CITY,기장군,부산
91,4,CITY,남구,부산
92,5,CITY,동구,부산
93,6,CITY,동래구,부산
94,7,CITY,부산진구,부산
95,8,CITY,북구,부산
96,9,CITY,사상구,부산
97,10,CITY,사하구,부산
98,11,CITY,서구,부산
99,12,CITY,수영구,부산
100,13,CITY,연제구,부산
101,14,CITY,영도구,부산
102,15,CITY,중구,부산
103,16,CITY,해운대구,부산
104,1,CITY,중구,울산
105,2,CITY,남구,울산
106,3,CITY,동구,울산
107,4,CITY,북구,울산
108,5,CITY,울주군,울산
109,1,CITY,세종특별자치시,세종
110,1,CITY,가평군,경기
111,2,CITY,고양시,경기
112,3,CITY,과천시,경기
113,4,CITY,광명시,경기
114,5,CITY,광주시,경기
115,6,CITY,구리시,경기
116,7,CITY,군포시,경기
117,8,CITY,김포시,경기
118,9,CITY,남양주시,경기
119,10,CITY,동두천시,경기
120,11,CITY,부천시,경기
121,12,CITY,성남시,경기
122,13,CITY,수원시,경기
123,14,CITY,시흥시,경기
124,15,CITY,안산시,경기
125,16,CITY,안성시,경기
126,17,CITY,안양시,경기
127,18,CITY,양주시,경기
128,19,CITY,양평군,경기
129,20,CITY,여주시,경기
130,21,CITY,연천군,경기
131,22,CITY,오산시,경기
132,23,CITY,용인시,경기
133,24,CITY,의왕시,경기
134,25,CITY,의정부시,경기
135,26,CITY,이천시,경기
136,27,CITY,파주시,경기
137,28,CITY,평택시,경기
138,29,CITY,포천시,경기
139,30,CITY,하남시,경기
140,31,CITY,화성시,경기
141,1,CITY,강릉시,강원
142,2,CITY,고성군,강원
143,3,CITY,동해시,강원
144,4,CITY,삼척시,강원
145,5,CITY,속초시,강원
146,6,CITY,양구군,강원
147,7,CITY,양양군,강원
148,8,CITY,영월군,강원
149,9,CITY,원주시,강원
150,10,CITY,인제군,강원
151,11,CITY,정선군,강원
152,12,CITY,철원군,강원
153,13,CITY,춘천시,강원
154,14,CITY,태백시,강원
155,15,CITY,평창군,강원
156,16,CITY,홍천군,강원
157,17,CITY,화천군,강원
158,18,CITY,횡성군,강원
159,1,CITY,괴산군,충북
160,2,CITY,단양군,충북
161,3,CITY,보은군,충북
162,4,CITY,영동군,충북
163,5,CITY,옥천군,충북
164,6,CITY,음성군,충북
165,7,CITY,제천시,충북
166,8,CITY,진천군,충북
167,9,CITY,청원군,충북
168,10,CITY,청주시,충북
169,11,CITY,충주시,충북
170,12,CITY,증평군,충북
171,1,CITY,공주시,충남
172,2,CITY,금산군,충남
173,3,CITY,논산시,충남
174,4,CITY,당진시,충남
175,5,CITY,보령시,충남
176,6,CITY,부여군,충남
177,7,CITY,서산시,충남
178,8,CITY,서천군,충남
179,9,CITY,아산시,충남
180,11,CITY,예산군,충남
181,12,CITY,천안시,충남
182,13,CITY,청양군,충남
183,14,CITY,태안군,충남
184,15,CITY,홍성군,충남
185,16,CITY,계룡시,충남
186,1,CITY,경산시,경북
187,2,CITY,경주시,경북
188,3,CITY,고령군,경북
189,4,CITY,구미시,경북
190,5,CITY,군위군,경북
191,6,CITY,김천시,경북
192,7,CITY,문경시,경북
193,8,CITY,봉화군,경북
194,9,CITY,상주시,경북
195,10,CITY,성주군,경북
196,11,CITY,안동시,경북
197,12,CITY,영덕군,경북
198,13,CITY,영양군,경북
199,14,CITY,영주시,경북
200,15,CITY,영천시,경북
201,16,CITY,예천군,경북
202,17,CITY,울릉군,경북
203,18,CITY,울진군,경북
204,19,CITY,의성군,경북
205,20,CITY,청도군,경북
206,21,CITY,청송군,경북
207,22,CITY,칠곡군,경북
208,23,CITY,포항시,경북
209,1,CITY,거제시,경남
210,2,CITY,거창군,경남
211,3,CITY,고성군,경남
212,4,CITY,김해시,경남
213,5,CITY,남해군,경남
214,6,CITY,마산시,경남
215,7,CITY,밀양시,경남
216,8,CITY,사천시,경남
217,9,CITY,산청군,경남
218,10,CITY,양산시,경남
219,12,CITY,의령군,경남
220,13,CITY,진주시,경남
221,14,CITY,진해시,경남
222,15,CITY,창녕군,경남
223,16,CITY,창원시,경남
224,17,CITY,통영시,경남
225,18,CITY,하동군,경남
226,19,CITY,함안군,경남
227,20,CITY,함양군,경남
228,21,CITY,합천군,경남
229,1,CITY,고창군,전북
230,2,CITY,군산시,전북
231,3,CITY,김제시,전북
232,4,CITY,남원시,전북
233,5,CITY,무주군,전북
234,6,CITY,부안군,전북
235,7,CITY,순창군,전북
236,8,CITY,완주군,전북
237,9,CITY,익산시,전북
238,10,CITY,임실군,전북
239,11,CITY,장수군,전북
240,12,CITY,전주시,전북
241,13,CITY,정읍시,전북
242,14,CITY,진안군,전북
243,1,CITY,강진군,전남
244,2,CITY,고흥군,전남
245,3,CITY,곡성군,전남
246,4,CITY,광양시,전남
247,5,CITY,구례군,전남
248,6,CITY,나주시,전남
249,7,CITY,담양군,전남
250,8,CITY,목포시,전남
251,9,CITY,무안군,전남
252,10,CITY,보성군,전남
253,11,CITY,순천시,전남
254,12,CITY,신안군,전남
255,13,CITY,여수시,전남
256,16,CITY,영광군,전남
257,17,CITY,영암군,전남
258,18,CITY,완도군,전남
259,19,CITY,장성군,전남
260,20,CITY,장흥군,전남
261,21,CITY,진도군,전남
262,22,CITY,함평군,전남
263,23,CITY,해남군,전남
264,24,CITY,화순군,전남
265,1,CITY,남제주군,제주
266,2,CITY,북제주군,제주
267,3,CITY,서귀포시,제주
268,4,CITY,제주시,제주
